Id,Building Type,Building Function,Sex,Age,Thermal Comfort Vote,Clothing Insulation (clo),Indoor Temperature (℃),Indoor Humidity (%),Season,Outdoor Temperature (℃),Outdoor Humidity (%),Room Volume Category
0,Residential,Bedroom,Female,18-30,1.0,medium,18.6,32.0,Winter Season,20.0,50.0,1-300
1,Residential,Bedroom,Female,41-50,1.0,medium,18.6,32.0,Winter Season,20.0,50.0,1-300
2,Residential,Bedroom,Male,41-50,1.0,medium,18.6,32.0,Winter Season,20.0,50.0,1-300
3,Residential,Bedroom,Male,18-30,1.0,medium,18.6,32.0,Winter Season,20.0,50.0,1-300
4,Residential,Bedroom,Male,18-30,1.0,medium,19.5,33.0,Winter Season,20.0,50.0,1-300
5,Residential,Bedroom,Female,41-50,1.0,medium,19.5,33.0,Winter Season,20.0,50.0,1-300
6,Residential,Bedroom,Female,18-30,1.0,medium,19.5,33.0,Winter Season,20.0,50.0,1-300
7,Residential,Bedroom,Male,41-50,2.0,medium,10.5,48.0,Winter Season,20.0,50.0,1-300
8,Residential,Bedroom,Female,41-50,2.0,medium,10.5,48.0,Winter Season,20.0,50.0,1-300
9,Residential,Bedroom,Female,18-30,2.0,medium,10.5,48.0,Winter Season,20.0,50.0,1-300
10,Residential,Bedroom,Female,51-60,1.0,medium,20.7,28.0,Winter Season,20.0,50.0,1-300
11,Residential,Bedroom,Female,18-30,1.0,medium,20.7,28.0,Winter Season,20.0,50.0,1-300
12,Residential,Bedroom,Female,18-30,1.0,medium,20.5,30.0,Winter Season,20.0,50.0,1-300
13,Residential,Bedroom,Female,31-40,1.0,light,20.5,30.0,Winter Season,20.0,50.0,1-300
14,Residential,Living room,Male,41-50,2.0,heavy,13.1,33.0,Winter Season,20.0,50.0,1-300
15,Residential,Living room,Female,41-50,2.0,medium,13.1,33.0,Winter Season,20.0,50.0,1-300
16,Residential,Bedroom,Male,>60,1.0,medium,18.6,30.0,Winter Season,20.0,50.0,1-300
17,Residential,Bedroom,Female,>60,1.0,medium,18.6,30.0,Winter Season,20.0,50.0,1-300
18,Residential,Bedroom,Male,31-40,1.0,medium,18.6,30.0,Winter Season,20.0,50.0,1-300
19,Residential,Bedroom,Male,18-30,1.0,medium,18.6,30.0,Winter Season,20.0,50.0,1-300
20,Residential,Bedroom,Female,18-30,1.0,medium,18.6,30.0,Winter Season,20.0,50.0,1-300
21,Residential,Bedroom,Male,41-50,1.0,medium,17.9,48.0,Winter Season,20.0,50.0,1-300
22,Residential,Bedroom,Female,41-50,1.0,medium,17.9,48.0,Winter Season,20.0,50.0,1-300
23,Residential,Bedroom,Female,18-30,1.0,medium,17.9,48.0,Winter Season,20.0,50.0,1-300
24,Residential,Bedroom,Female,18-30,1.0,light,11.0,42.0,Winter Season,20.0,50.0,1-300
25,Residential,Bedroom,Male,41-50,1.0,medium,11.0,42.0,Winter Season,20.0,50.0,1-300
26,Office,Office,Female,18-30,1.0,medium,20.1,29.0,Winter Season,20.0,50.0,1-300
27,Office,Office,Female,41-50,2.0,medium,19.4,29.0,Winter Season,20.0,50.0,1-300
28,Office,Office,Male,31-40,1.0,medium,18.9,31.0,Winter Season,20.0,50.0,1-300
29,Office,Office,Male,31-40,1.0,medium,19.1,31.0,Winter Season,20.0,50.0,1-300
30,Office,Office,Female,31-40,1.0,light,20.7,26.0,Winter Season,20.0,50.0,1-300
31,Office,Office,Male,31-40,1.0,light,20.9,26.0,Winter Season,20.0,50.0,1-300
32,Office,Office,Male,31-40,1.0,medium,20.7,26.0,Winter Season,20.0,50.0,1-300
33,Office,Office,Male,31-40,1.0,medium,20.2,27.0,Winter Season,20.0,50.0,1-300
34,Office,Office,Male,31-40,1.0,medium,19.4,28.0,Winter Season,20.0,50.0,1-300
35,Office,Office,Male,18-30,3.0,medium,22.3,26.0,Winter Season,20.0,50.0,1-300
36,Office,Office,Male,31-40,1.0,medium,22.3,27.0,Winter Season,20.0,50.0,1-300
37,Office,Office,Female,31-40,1.0,medium,21.9,27.0,Winter Season,20.0,50.0,1-300
38,Office,Office,Female,31-40,1.0,medium,22.2,27.0,Winter Season,20.0,50.0,1-300
39,Office,Office,Male,31-40,1.0,light,21.7,26.0,Winter Season,20.0,50.0,1-300
40,Office,Office,Female,41-50,1.0,medium,21.0,28.0,Winter Season,20.0,50.0,1-300
41,Office,Office,Female,31-40,2.0,medium,21.9,25.0,Winter Season,20.0,50.0,1-300
42,Office,Office,Male,31-40,1.0,medium,23.1,25.0,Winter Season,20.0,50.0,1-300
43,Office,Office,Male,18-30,2.0,medium,23.1,25.0,Winter Season,20.0,50.0,1-300
44,Office,Office,Male,31-40,2.0,light,22.1,25.0,Winter Season,20.0,50.0,1-300
45,Office,Office,Male,51-60,2.0,medium,21.6,26.0,Winter Season,20.0,50.0,1-300
46,Office,Office,Male,31-40,1.0,medium,20.6,28.0,Winter Season,20.0,50.0,1-300
47,Office,Office,Male,31-40,1.0,medium,23.0,25.0,Winter Season,20.0,50.0,1-300
48,Office,Office,Male,31-40,2.0,medium,23.4,25.0,Winter Season,20.0,50.0,1-300
49,Office,Office,Male,31-40,1.0,medium,24.5,25.0,Winter Season,20.0,50.0,1-300
50,Office,Office,Male,31-40,1.0,light,18.6,27.0,Winter Season,20.0,50.0,1-300
51,Office,Office,Male,31-40,2.0,medium,18.7,27.0,Winter Season,20.0,50.0,1-300
52,Office,Office,Male,31-40,1.0,medium,18.1,28.0,Winter Season,20.0,50.0,1-300
53,Office,Office,Female,18-30,1.0,light,18.2,27.0,Winter Season,20.0,50.0,1-300
54,Office,Office,Female,18-30,1.0,light,18.3,26.0,Winter Season,20.0,50.0,1-300
55,Office,Office,Male,31-40,2.0,medium,18.0,27.0,Winter Season,20.0,50.0,1-300
56,Office,Office,Male,18-30,2.0,light,16.9,28.0,Winter Season,20.0,50.0,1-300
57,Office,Office,Male,31-40,2.0,light,19.0,28.0,Winter Season,20.0,50.0,1-300
58,Office,Office,Male,18-30,2.0,medium,18.4,28.0,Winter Season,20.0,50.0,1-300
59,Office,Office,Female,31-40,2.0,medium,19.2,28.0,Winter Season,20.0,50.0,1-300
60,Office,Office,Male,31-40,2.0,medium,16.4,30.0,Winter Season,20.0,50.0,1-300
61,Office,Office,Male,18-30,2.0,light,17.4,30.0,Winter Season,20.0,50.0,1-300
62,Office,Office,Male,18-30,2.0,light,17.4,31.0,Winter Season,20.0,50.0,1-300
63,Office,Office,Male,31-40,1.0,light,17.4,30.0,Winter Season,20.0,50.0,1-300
64,Office,Office,Male,31-40,3.0,medium,17.1,33.0,Winter Season,20.0,50.0,1-300
65,Office,Office,Female,31-40,1.0,medium,16.8,32.0,Winter Season,20.0,50.0,1-300
66,Office,Office,Male,31-40,1.0,medium,16.8,31.0,Winter Season,20.0,50.0,1-300
67,Office,Office,Male,31-40,2.0,light,16.0,32.0,Winter Season,20.0,50.0,1-300
68,Office,Office,Female,31-40,1.0,medium,17.8,28.0,Winter Season,20.0,50.0,1-300
69,Office,Office,Female,31-40,2.0,medium,16.2,34.0,Winter Season,20.0,50.0,1-300
70,Office,Office,Female,18-30,3.0,medium,15.8,30.0,Winter Season,20.0,50.0,1-300
71,Office,Office,Female,31-40,2.0,medium,16.6,29.0,Winter Season,20.0,50.0,1-300
72,Residential,Living room,Male,31-40,1.0,medium,24.8,33.0,Winter Season,20.0,50.0,1-300
73,Residential,Living room,Female,31-40,1.0,medium,24.8,33.0,Winter Season,20.0,50.0,1-300
74,Residential,Living room,Female,18-30,1.0,medium,24.8,33.0,Winter Season,20.0,50.0,1-300
75,Residential,Living room,Female,18-30,1.0,medium,24.8,33.0,Winter Season,20.0,50.0,1-300
